IDPERSONA,DOCUMENTO_TRAYECTORIA_TEXTO,N_CARGOS_TOTAL,N_CARGOS_SIGNIFICATIVOS,N_CAMBIOS_CARGO,N_CAMBIOS_UNIDAD,DURACION_MEDIA_CARGO_ANIOS,DURACION_MEDIANA_CARGO_ANIOS,DURACION_MAX_CARGO_ANIOS,N_UNIDADES_TOTAL,N_UNIDADES_SIGNIFICATIVAS,PROPORCION_CARGOS_SIGNIFICATIVOS
66819,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 3 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR en DESCONOCIDA (2009-2010); PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS (desde 2013); TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE PROYECTOS en DESCONOCIDA (2015-2016); TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE PROYECTOS en FACULTAD DE CIENCIAS SOCIALES Y HUMANÍSTICAS (en 2016).
Movilidad: Ha realizado 2 cambios de cargo y 3 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 3.8 años y la duración mediana es de 0.7 años. Su cargo de mayor duración se mantuvo durante 13.3 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 0.7 años por cargo.
Movilidad profesional: Ha mantenido el mismo cargo, pero ha pasado por distintas unidades (3 cambios de unidad).
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 13.3 años). Múltiples cambios de unidad a lo largo de su trayectoria (3).",4,3,2,3,3.76,0.73,13.34,2,2,0.75
66836,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR TITULAR AGREGADO 2 (TC) en FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 2 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR PREGRADO en DESCONOCIDA (2009-2011); PROFESOR TITULAR AGREGADO 2 (TC) en FACULTAD DE INGENIERÍA EN ELECTRICIDAD Y COMPUTACIÓN (2011-2025).
Movilidad: Ha realizado 1 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 8.0 años y la duración mediana es de 8.0 años. Su cargo de mayor duración se mantuvo durante 13.9 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 8.0 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 13.9 años). Predominio de períodos prolongados en su historial de cargos.",2,2,1,1,7.97,7.97,13.95,2,2,1.0
66966,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (TP) en FACULTAD DE ARTE, DISEÑO Y COMUNICACIÓN AUDIOVISUAL y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 3 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR PREGRADO en DESCONOCIDA (en 2009); PROFESOR PREGRADO en DESCONOCIDA (2010-2012); PROFESOR NO TITULAR OCASIONAL (TP) en FACULTAD DE ARTE, DISEÑO Y COMUNICACIÓN AUDIOVISUAL (2020-2025).
Movilidad: Ha realizado 1 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 2.2 años y la duración mediana es de 2.0 años. Su cargo de mayor duración se mantuvo durante 4.3 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 2.0 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 4.3 años). Predominio de períodos prolongados en su historial de cargos.",3,3,1,1,2.23,2.0,4.34,2,2,1.0
66974,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (TP) en FACULTAD DE ARTE, DISEÑO Y COMUNICACIÓN AUDIOVISUAL y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 2 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR en DESCONOCIDA (2009-2010); PROFESOR NO TITULAR OCASIONAL (TP) en FACULTAD DE ARTE, DISEÑO Y COMUNICACIÓN AUDIOVISUAL (desde 2020).
Movilidad: Ha realizado 1 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 3.4 años y la duración mediana es de 3.4 años. Su cargo de mayor duración se mantuvo durante 5.9 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 3.4 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 5.9 años). Predominio de períodos prolongados en su historial de cargos.",2,2,1,1,3.36,3.36,5.93,2,2,1.0
67008,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 1 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (2022-2024).
Movilidad: Ha realizado 0 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 1.4 años y la duración mediana es de 1.4 años. Su cargo de mayor duración se mantuvo durante 1.4 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 1.4 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Trayectoria concentrada en una sola unidad. Predominio de períodos prolongados en su historial de cargos.",1,1,0,0,1.37,1.37,1.37,1,1,1.0
67133,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (TC) en ESCUELA DE POSTGRADO EN ADMINISTRACIÓN DE EMPRESAS y su estado de vigencia es no vigente.
Secuencia profesional: PROFESOR NO TITULAR OCASIONAL (TC) en ESCUELA DE POSTGRADO EN ADMINISTRACIÓN DE EMPRESAS (en 2024).
Movilidad: Ha realizado 0 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 0 unidades.
Permanencia: La duración media de sus cargos es de 0.0 años y la duración mediana es de 0.0 años. Su cargo de mayor duración se mantuvo durante 0.0 años.
Estabilidad: Su trayectoria está formada principalmente por períodos cortos, con una duración mediana de 0.0 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Predominio de períodos cortos en su historial de cargos.",1,0,0,0,0.02,0.02,0.02,1,0,0.0
67497,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE CIENCIAS DE LA VIDA y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 2 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: ASISTENTE DE LABORATORIO en DESCONOCIDA (2009-2012); PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE CIENCIAS DE LA VIDA (2016-2019).
Movilidad: Ha realizado 1 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 3.3 años y la duración mediana es de 3.3 años. Su cargo de mayor duración se mantuvo durante 3.6 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 3.3 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Predominio de períodos prolongados en su historial de cargos.",2,2,1,1,3.28,3.28,3.6,2,2,1.0
67520,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE ACTIVIDADES en GERENCIA ADMINISTRATIVA y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 1 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: TÉCNICOS ESPECIALIZADOS - EJECUCIÓN DE ACTIVIDADES en GERENCIA ADMINISTRATIVA (desde 2024).
Movilidad: Ha realizado 0 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 1.9 años y la duración mediana es de 1.9 años. Su cargo de mayor duración se mantuvo durante 1.9 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 1.9 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Trayectoria concentrada en una sola unidad. Predominio de períodos prolongados en su historial de cargos.",1,1,0,0,1.86,1.86,1.86,1,1,1.0
67720,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE INGENIERÍA MARÍTIMA Y CIENCIAS DEL MAR y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 3 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: INVESTIGADOR ASOCIADO DEL AREA DE DIVERSIFICACIÓN en DESCONOCIDA (2007-2008); INVESTIGADOR DE DIVERSIFICACIÓN en DESCONOCIDA (2008-2010); PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE INGENIERÍA MARÍTIMA Y CIENCIAS DEL MAR (desde 2018).
Movilidad: Ha realizado 2 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 3.7 años y la duración mediana es de 1.7 años. Su cargo de mayor duración se mantuvo durante 8.4 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 1.7 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 8.4 años). Predominio de períodos prolongados en su historial de cargos.",3,3,2,1,3.68,1.66,8.38,2,2,1.0
67737,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de ANALISTA DE LABORATORIO DE INVESTIGACIÓN 2 en CENTRO NACIONAL DE ACUICULTURA E INVESTIGACIONES MARINAS y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 4 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: ASISTENTE DE LABORATORIO en DESCONOCIDA (2009-2012); AUXILIAR TÉCNICO DE LABORATORIO en DESCONOCIDA (2013-2014); TÉCNICO DOCENTE en DESCONOCIDA (2014-2015); ANALISTA DE LABORATORIO DE INVESTIGACIÓN 2 en CENTRO NACIONAL DE ACUICULTURA E INVESTIGACIONES MARINAS (desde 2015).
Movilidad: Ha realizado 3 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 4.3 años y la duración mediana es de 2.5 años. Su cargo de mayor duración se mantuvo durante 10.8 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 2.5 años por cargo.
Movilidad profesional: Ha ocupado varios cargos distintos (3 cambios de cargo), manteniéndose dentro de la misma unidad.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 10.8 años). Múltiples cambios de cargo a lo largo de su trayectoria (3). Predominio de períodos prolongados en su historial de cargos.",4,4,3,1,4.3,2.5,10.79,2,2,1.0
67810,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de ASISTENTE EJECUTIVA 2 en GERENCIA JURÍDICA y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 2 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: SECRETARIA AUXILIAR en DESCONOCIDA (2009-2010); ASISTENTE EJECUTIVA 2 en GERENCIA JURÍDICA (desde 2011).
Movilidad: Ha realizado 1 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 8.4 años y la duración mediana es de 8.4 años. Su cargo de mayor duración se mantuvo durante 15.5 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 8.4 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 15.5 años). Predominio de períodos prolongados en su historial de cargos.",2,2,1,1,8.44,8.44,15.46,2,2,1.0
67845,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de ANALISTA DE LABORATORIO DE INVESTIGACIÓN 2 en CENTRO NACIONAL DE ACUICULTURA E INVESTIGACIONES MARINAS y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 3 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: ENCARGADO DE LABORATORIO en DESCONOCIDA (2009-2012); TÉCNICO DOCENTE en DESCONOCIDA (2013-2015); ANALISTA DE LABORATORIO DE INVESTIGACIÓN 2 en CENTRO NACIONAL DE ACUICULTURA E INVESTIGACIONES MARINAS (desde 2015).
Movilidad: Ha realizado 2 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 5.7 años y la duración mediana es de 3.4 años. Su cargo de mayor duración se mantuvo durante 10.8 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 3.4 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 10.8 años). Predominio de períodos prolongados en su historial de cargos.",3,3,2,1,5.71,3.42,10.79,2,2,1.0
67848,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de ANALISTA DE LABORATORIO DE INVESTIGACIÓN 2 en CENTRO NACIONAL DE ACUICULTURA E INVESTIGACIONES MARINAS y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 4 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: JEFE DE LABORATORIO DE PLACTON en DESCONOCIDA (2009-2012); AUXILIAR TECNICO DE LABORATORIO en DESCONOCIDA (en 2013); TÉCNICO DOCENTE en DESCONOCIDA (2014-2015); ANALISTA DE LABORATORIO DE INVESTIGACIÓN 2 en CENTRO NACIONAL DE ACUICULTURA E INVESTIGACIONES MARINAS (desde 2015).
Movilidad: Ha realizado 3 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 4.3 años y la duración mediana es de 2.7 años. Su cargo de mayor duración se mantuvo durante 10.8 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 2.7 años por cargo.
Movilidad profesional: Ha ocupado varios cargos distintos (3 cambios de cargo), manteniéndose dentro de la misma unidad.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 10.8 años). Múltiples cambios de cargo a lo largo de su trayectoria (3). Predominio de períodos prolongados en su historial de cargos.",4,4,3,1,4.28,2.67,10.79,2,2,1.0
67869,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de ANALISTA DE LABORATORIO DE INVESTIGACIÓN 3 en CENTRO NACIONAL DE ACUICULTURA E INVESTIGACIONES MARINAS y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 4 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: TÉCNICO DE LABORATORIO en DESCONOCIDA (2009-2012); ANALISTA DE LABORATORIO DE INVESTIGACIÓN en DESCONOCIDA (2013-2014); TÉCNICO DOCENTE en DESCONOCIDA (en 2015); ANALISTA DE LABORATORIO DE INVESTIGACIÓN 3 en CENTRO NACIONAL DE ACUICULTURA E INVESTIGACIONES MARINAS (desde 2015).
Movilidad: Ha realizado 3 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 4.3 años y la duración mediana es de 2.7 años. Su cargo de mayor duración se mantuvo durante 10.8 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 2.7 años por cargo.
Movilidad profesional: Ha ocupado varios cargos distintos (3 cambios de cargo), manteniéndose dentro de la misma unidad.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 10.8 años). Múltiples cambios de cargo a lo largo de su trayectoria (3). Predominio de períodos prolongados en su historial de cargos.",4,4,3,1,4.28,2.71,10.79,2,2,1.0
67874,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de ANALISTA DE LABORATORIO DE INVESTIGACIÓN 3 en CENTRO NACIONAL DE ACUICULTURA E INVESTIGACIONES MARINAS y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 4 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: ASISTENTE DE LABORATORIO en DESCONOCIDA (2009-2010); ANALISTA DE LABORATORIO en DESCONOCIDA (en 2014); TÉCNICO DOCENTE en DESCONOCIDA (en 2015); ANALISTA DE LABORATORIO DE INVESTIGACIÓN 3 en CENTRO NACIONAL DE ACUICULTURA E INVESTIGACIONES MARINAS (desde 2015).
Movilidad: Ha realizado 3 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 3.3 años y la duración mediana es de 1.0 años. Su cargo de mayor duración se mantuvo durante 10.8 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 1.0 años por cargo.
Movilidad profesional: Ha ocupado varios cargos distintos (3 cambios de cargo), manteniéndose dentro de la misma unidad.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 10.8 años). Múltiples cambios de cargo a lo largo de su trayectoria (3). Predominio de períodos prolongados en su historial de cargos.",4,4,3,1,3.32,0.96,10.79,2,2,1.0
67973,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de TÉCNICO DOCENTE 1 (TC) en FACULTAD DE INGENIERÍA EN CIENCIAS DE LA TIERRA y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 1 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: TÉCNICO DOCENTE 1 (TC) en FACULTAD DE INGENIERÍA EN CIENCIAS DE LA TIERRA (2022-2023).
Movilidad: Ha realizado 0 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 1.7 años y la duración mediana es de 1.7 años. Su cargo de mayor duración se mantuvo durante 1.7 años.
Estabilidad: Su trayectoria combina cargos de distinta duración, con una mediana de 1.7 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Trayectoria concentrada en una sola unidad. Predominio de períodos prolongados en su historial de cargos.",1,1,0,0,1.74,1.74,1.74,1,1,1.0
68084,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE INGENIERÍA EN CIENCIAS DE LA TIERRA y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 2 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR NO TITULAR OCASIONAL 2 (TC) en FACULTAD DE INGENIERÍA EN CIENCIAS DE LA TIERRA (en 2016); PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE INGENIERÍA EN CIENCIAS DE LA TIERRA (desde 2022).
Movilidad: Ha realizado 1 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 2.0 años y la duración mediana es de 2.0 años. Su cargo de mayor duración se mantuvo durante 3.8 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 2.0 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Trayectoria concentrada en una sola unidad. Predominio de períodos prolongados en su historial de cargos.",2,2,1,0,2.05,2.05,3.79,1,1,1.0
68186,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de TÉCNICO DE INVESTIGACIÓN 1 (TC) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 1 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: TÉCNICO DE INVESTIGACIÓN 1 (TC) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (2023-2025).
Movilidad: Ha realizado 0 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 2.8 años y la duración mediana es de 2.8 años. Su cargo de mayor duración se mantuvo durante 2.8 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 2.8 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Trayectoria concentrada en una sola unidad. Predominio de períodos prolongados en su historial de cargos.",1,1,0,0,2.84,2.84,2.84,1,1,1.0
68191,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 2 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: PROFESOR NO TITULAR OCASIONAL (MT) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (2018-2019); PROFESOR NO TITULAR OCASIONAL (TC) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (desde 2019).
Movilidad: Ha realizado 1 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 3.9 años y la duración mediana es de 3.9 años. Su cargo de mayor duración se mantuvo durante 7.5 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 3.9 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 7.5 años). Trayectoria concentrada en una sola unidad. Predominio de períodos prolongados en su historial de cargos.",2,2,1,0,3.93,3.93,7.46,1,1,1.0
68232,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de SERVICIOS PROFESIONALES - EJECUCIÓN DE ACTIVIDADES en GERENCIA DE PLANIFICACIÓN ESTRATÉGICA y su estado de vigencia es no vigente.
Trayectoria: Ha ocupado 1 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: TÉCNICO DE LABORATORIO 1 (TC) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (en 2023); TÉCNICO DOCENTE 1 (TC) en FACULTAD DE INGENIERÍA MECÁNICA Y CIENCIAS DE LA PRODUCCIÓN (2024-2025).
Movilidad: Ha realizado 1 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 1 unidades.
Permanencia: La duración media de sus cargos es de 0.5 años y la duración mediana es de 0.5 años. Su cargo de mayor duración se mantuvo durante 0.7 años.
Estabilidad: Su trayectoria está formada principalmente por períodos cortos, con una duración mediana de 0.5 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Trayectoria concentrada en una sola unidad.",2,1,1,0,0.47,0.47,0.7,1,1,0.5
68247,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de TÉCNICO DE INVESTIGACIÓN 1 (TC) en FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS y su estado de vigencia es no vigente.
Secuencia profesional: TÉCNICO DE INVESTIGACIÓN 1 (TC) en FACULTAD DE CIENCIAS NATURALES Y MATEMÁTICAS (en 2024).
Movilidad: Ha realizado 0 cambios de cargo y 0 cambios de unidad. Ha desarrollado su trayectoria en 0 unidades.
Permanencia: La duración media de sus cargos es de 0.1 años y la duración mediana es de 0.1 años. Su cargo de mayor duración se mantuvo durante 0.1 años.
Estabilidad: Su trayectoria está formada principalmente por períodos cortos, con una duración mediana de 0.1 años por cargo.
Movilidad profesional: Ha permanecido durante varios años en un mismo cargo y unidad, sin cambios frecuentes.
Patrones de trayectoria: Predominio de períodos cortos en su historial de cargos.",1,0,0,0,0.11,0.11,0.11,1,0,0.0
68354,"TRAYECTORIA PROFESIONAL
Estado actual: Actualmente ocupa el cargo de ANALISTA DE LABORATORIO DE INVESTIGACIÓN 3 en CENTRO DE INVESTIGACIONES BIOTECNOLÓGICAS DEL ECUADOR y su estado de vigencia es vigente.
Trayectoria: Ha ocupado 4 cargos significativos a lo largo de su trayectoria.
Secuencia profesional: ASISTENTE DE LABORATORIO en DESCONOCIDA (2009-2012); INVESTIGADORA en DESCONOCIDA (2013-2014); TÉCNICO DOCENTE en DESCONOCIDA (en 2015); ANALISTA DE LABORATORIO DE INVESTIGACIÓN 3 en CENTRO DE INVESTIGACIONES BIOTECNOLÓGICAS DEL ECUADOR (desde 2015).
Movilidad: Ha realizado 3 cambios de cargo y 1 cambios de unidad. Ha desarrollado su trayectoria en 2 unidades.
Permanencia: La duración media de sus cargos es de 4.3 años y la duración mediana es de 2.7 años. Su cargo de mayor duración se mantuvo durante 11.3 años.
Estabilidad: Su trayectoria presenta permanencias relativamente prolongadas en sus cargos, con una duración mediana de 2.7 años por cargo.
Movilidad profesional: Ha ocupado varios cargos distintos (3 cambios de cargo), manteniéndose dentro de la misma unidad.
Patrones de trayectoria: Permanencia prolongada en al menos un cargo (máximo 11.3 años). Múltiples cambios de cargo a lo largo de su trayectoria (3). Predominio de períodos prolongados en su historial de cargos.",4,4,3,1,4.26,2.66,11.29,2,2,1.0
